name_old,address_old,note_old,lat,lng
180 FOOD MARKET,"180  LEES AVENUE, Ottawa, ON",regular,45.4153548,-75.6708025
A TO Z Palace,"489 Rideau St, Ottawa, ON",regular,45.4317166,-75.67921609999999
A. RAYMOND & SONS,"5566 Osgoode Main St, Ottawa, ON",gas station,45.1457293,-75.60655
ABBAS GROCERY,"344 Bell St S, Ottawa, ON",regular,45.4020648,-75.7032878
AINEE'S CONVENIENCE STORE,"1016 Pleasant Park Rd, Ottawa, ON",regular,45.3952009,-75.62238169999999
Ali Convenience Store,"1245 Walkley Rd, Ottawa, ON",regular,45.3718896,-75.6610872
AL'S CORNER STORE & gas bar,"4812 Hwy 17 W,  Arnprior",gas station,45.4081685,-76.28243309999999
BAKKER'S GENERAL STORE,"1004 Mitch Owens Rd, Ottawa, ON",regular,45.285143,-75.5577692
Bambeeno’s Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",regular,45.38841,-75.6745825
BAYSCORNER,"245 Bay St, Ottawa, ON",regular,45.4154673,-75.7040931
BELL'S CORNER MINI MART,"2072 Robertson Rd, Ottawa, ON",regular,45.322444,-75.8313318
BLUE NILE STORE,"168 King Edward Av, Ottawa, ON",regular,45.433828,-75.69045109999999
BRITTANY VARIETY STORE,"230 Brittany Dr, Ottawa, ON",regular,45.4455455,-75.6487248
BUCK OR TWO Plus,"50 Marketplace Ave, Ottawa, ON",regular,45.2698934,-75.743713
Buck or Two Plus,"50 Rideau Street, Ottawa, ON",regular,45.4250234,-75.6909652
CAMPBELL'S METCALFE VARIETY,"8196 Victoria St, Ottawa, ON",regular,45.2349347,-75.4743956
Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON
K1V 6B2",gas station,45.37761829999999,-75.66841
Canadian Tire Gas Bar,"1775 Tenth Line Rd, Ottawa, ON",gas station,45.4673466,-75.49108919999999
Canadian Tire Gas Bar,"2006 Ogilvie Rd, Ottawa, ON",gas station,45.435946,-75.6057919
Canadian Tire Gas Bar,"2135 Robertson Rd, Ottawa, ON",gas station,45.3218168,-75.83623949999999
Canadian Tire Gas Bar,"2201 Greenbank Rd, Ottawa, ON",gas station,45.27259230000001,-75.7468452
Canadian Tire Gas Bar,"4778 Bank Street, Gloucester, ON
K1T 0K8",gas station,45.3180646,-75.5927572
Canadian Tire Gas Bar,"500 Terry Fox Drive, Ottawa, ON",gas station,45.3086126,-75.916439
CARDS & MAGS,"25 McArthur Ave, Ottawa, ON",regular,45.4313724,-75.667942
CECI Cela Convenient Store,"50 O'Connor St, Ottawa, ON",regular,45.4208307,-75.6989356
CELEBRATION SMOKE & GIFT SHOP,"200 Kent St, Ottawa, ON",regular,45.41714,-75.70145939999999
CHATEAU VANIER VARIETY,"158 McArthur Ave, Ottawa, ON",regular,45.4306706,-75.6632267
CHUCK'S DELI & CONVENIENCE,"100 Trainyards Dr, Ottawa, ON",regular,45.4125374,-75.6466372
COMERFORDS SMOKE SHOP,"124 Bank St, Ottawa, ON",regular,45.4193147,-75.7004497
CONSTANCE BAY GENERAL STORE,"115 Constance Bay Rd, Ottawa, ON",regular,45.486479,-76.0736062
COSMO MART,"170 Lees Av, Ottawa, ON",regular,45.4141803,-75.671077
Country Style Express/Convenience store,"340 Laurier Ave W, Ottawa, ON",regular,45.4179829,-75.6998984
CROSSWINDS Convenience,"641 Bathgate Dr, Ottawa, ON",regular,45.4465282,-75.62414980000001
DARVESH CONVENIENCE STORE,"3084 Kinburn Side Rd, Ottawa, ON",regular,45.391489,-76.1885617
Depanneur Du Projet,"829 Notre Dame Rue, Embrun, ON K0A 1W1",regular,45.2693024,-75.2955571
Depanneur Miron,"723 Notre Dame Rue, Embrun, ON K0A 1W1",gas station,45.2675781,-75.30508449999999
Discount Tobacco & Grocery Shop,"5646 Manotick Main Street, Manotick, ON K4M 1B3",regular,45.2201635,-75.6768404
DIXIE DAIRY convenience store,"101 Main St, Ottawa, ON",regular,45.4116429,-75.67909879999999
Dollar It,"297 Bank St, Ottawa, ON",other,45.415184000000004,-75.69604770000001
Dollar Plus,"1309 Carling Ave, Ottawa, ON",other,45.3867692,-75.7355233
Dollar Tree,"1021 Cyrville Rd, Ottawa, ON",other,45.42578750000001,-75.6359037
Dollar Tree,"1460 Merivale Rd, Ottawa, ON",other,45.3619299,-75.7353516
Dollar Tree,"1750 Innes Road, Silver City Center, Ottawa, On, K1B 3K5",other,45.4162282,-75.6005309
Dollar Tree,"2525 Carling Ave, Ottawa, ON",other,45.364982,-75.7857631
Dollar Tree,"2756 Chamberland St, Rockland, ON K4K 0B2",other,45.5441947,-75.3027572
Dollar Tree,"2950 Bank St, Ottawa, ON",other,45.344538,-75.622643
Dollar Tree,"3722 Innes, Ottawa, ON",other,45.4496516,-75.51709679999999
Dollar Tree,"525 W Hunt Club Rd, Ottawa, ON",other,45.3348658,-75.72632779999999
Dollar Tree,"5703 Hazeldean Rd, Ottawa, ON",other,45.2852452,-75.9135878
Dollarama,"1050 Somerset Street West, Ottawa, ON",other,45.4065044,-75.71951729999999
Dollarama,"110 Place d'Orleans Dr, Ottawa, ON",other,45.4781702,-75.5155571
Dollarama,"1200 St Laurent Blvd, Ottawa, ON",other,45.4219466,-75.6387057
Dollarama,"1226 Place d'Orléans Dr, Orléans, ON K1C 7K3",other,45.4764991,-75.5228439
Dollarama,"1239 Donald St, Ottawa, ON",other,45.4295001,-75.63980839999999
Dollarama,"1300 Stittsville Main St, Ottawa, ON",other,45.2655398,-75.9303671
Dollarama,"1615 Orleans Blvd, Ottawa, ON",other,45.4604249,-75.52472089999999
Dollarama,"1651 Merivale Rd, Ottawa, ON",other,45.3502756,-75.7312492
Dollarama,"1670 Heron Road, Ottawa, ON",other,45.379825,-75.64455699999999
Dollarama,"1777 Tenth Line Rd, Ottawa, ON",other,45.4665388,-75.4894896
Dollarama,"183 Rideau Street, Ottawa, ON",other,45.4275353,-75.68919850000002
Dollarama,"1980 Ogilvie Rd, Ottawa, ON",other,45.4325275,-75.6098258
Dollarama,"2020 Mer-Bleue Rd, Ottawa, ON",other,45.45277919999999,-75.5038706
Dollarama,"2121 Carling Ave, Ottawa, ON",other,45.3731497,-75.76867940000001
Dollarama,"2150 Robertson Rd, Ottawa, ON",other,45.3194282,-75.8366715
Dollarama,"2272 Tenth Line Rd, Orléans, ON K4A 0X4",other,45.4529088,-75.48368599999999
Dollarama,"228 Hunt Club Road, Ottawa, ON",other,45.3335674,-75.6913084
Dollarama,"2515 Bank Street, Ottawa, ON",other,45.3542812,-75.64597119999999
Dollarama,"255 Elgin St, Ottawa, ON",other,45.4183701,-75.6906583
Dollarama,"2640 Innes Road, Ottawa, ON",other,45.4313633,-75.5623379
Dollarama,"2679 Alta Vista Drive, Ottawa, ON K1V 7T5",other,45.372543,-75.6631
Dollarama,"2946 Baseline Road, Ottawa, ON",other,45.33493929999999,-75.7993826
Dollarama,"300 Earl Grey Drive, Ottawa, ON",other,45.311713,-75.9158296
Dollarama,"3777 Strandherd Drive, Ottawa, ON",other,45.268477,-75.74916069999999
Dollarama,"4235 Strandherd Dr, Nepean, ON K2J 6E5",other,45.2687764,-75.78127429999999
Dollarama,"484 Hazeldean Road, Ottawa, ON",other,45.2959208,-75.8900792
Dollarama,"500 Terminal Ave, Ottawa, ON",other,45.4144745,-75.6471402
Dollarama,"5375 Fernbank Rd, Ottawa, ON",other,45.273385,-75.8713253
Dollarama,"5487 Hazeldean rd, Ottawa, ON",other,45.2904316,-75.9040962
Dollarama,"594 Montreal Road, Ottawa, ON",other,45.4414064,-75.64421879999999
Dollarama,"6505 Jeanne d'Arc Blvd North, Ottawa, ON",other,45.4799512,-75.53692099999999
Dollarama,"844 March Road, Ottawa, ON",other,45.3581746,-75.934403
DollarPal,"1420 Walkley Road, Ottawa, ON",other,45.3734543,-75.65356179999999
Domestic Foods,"595 Gladstone Av, Ottawa, ON",regular,45.4092318,-75.7010511
Dona’s Friendly Store,"157 Cathcart St, Ottawa, ON K1N 5C1",regular,45.4336358,-75.69502299999999
DRUMMOND GAS-MANOTICK,"5220 Mitch Owens Rd, Ottawa, ON",gas station,45.233935,-75.675158
DRUMMOND'S GAS,"1925 Merivale Rd, Ottawa, ON",gas station,45.3296415,-75.7205072
DRUMMOND'S GAS,"5501 Bank St, Ottawa, ON",gas station,45.2814668,-75.5707625
DRUMMOND'S GAS,"5789 Perth St, Ottawa, ON",gas station,45.2046343,-75.8233229
Econogas convenience store,"187 Holland Av, Ottawa, ON",gas station,45.3978002,-75.7304425
ELGIN SQ. CONVENIENCE STORE,"475 Elgin St, Ottawa, ON",regular,45.4126854,-75.6852682
ESSO ON THE RUN,"120 Montreal Rd, Ottawa, ON",gas station,45.4340001,-75.66609559999999
ESSO ON THE RUN,"1494 Innes Rd, Ottawa, ON",gas station,45.4146989,-75.60450689999999
ESSO ON THE RUN,"1545 Woodroffe Ave, Ottawa, ON",gas station,45.3343192,-75.7517676
ESSO ON THE RUN,"1584 Merivale Rd, Ottawa, ON",gas station,45.3502812,-75.7336488
ESSO ON THE RUN,"1600 Bank St, Ottawa, ON",gas station,45.3781328,-75.66774579999999
ESSO ON THE RUN,"1859 Carling Ave, Ottawa, ON",gas station,45.37628489999999,-75.7573774
ESSO ON THE RUN,"1970 Walkley Rd, Ottawa, ON",gas station,45.3829499,-75.63071219999999
ESSO ON THE RUN,"1980 St Joseph Blvd, Ottawa, ON",gas station,45.4635594,-75.54041219999999
ESSO ON THE RUN,"2075 MONTREAL RD, Ottawa, ON",gas station,45.4480417,-75.59397109999999
ESSO ON THE RUN,"2100 Hunt Club Rd, Ottawa, ON",gas station,45.3640141,-75.6196172
ESSO ON THE RUN,"2162 PRINCE OF WALES DR, Ottawa, ON",gas station,45.3333553,-75.7018235
ESSO ON THE RUN,"225 Huntmar Dr, Ottawa, ON",gas station,45.2942842,-75.9276597
ESSO ON THE RUN,"2545 Baseline Rd, Ottawa, ON",gas station,45.3421276,-75.7863083
ESSO ON THE RUN,"3580 Strandherd Rd, Ottawa, ON",gas station,45.27460079999999,-75.73853369999999
ESSO ON THE RUN,"3705 Riverside Dr, Ottawa, ON",gas station,45.3426999,-75.6904138
ESSO ON THE RUN,"3869 Innes Rd, Ottawa, ON",gas station,45.4531593,-75.5120415
ESSO ON THE RUN,"401 Hazeldean Rd, Ottawa, ON",gas station,45.3041528,-75.8776654
ESSO ON THE RUN,"44 Edgewater St, Ottawa, ON",gas station,45.29750929999999,-75.9009396
ESSO ON THE RUN,"450 Bank St, Ottawa, ON",gas station,45.4118113,-75.6937908
ESSO ON THE RUN,"479 March Rd, Ottawa, ON",gas station,45.34231519999999,-75.9171222
ESSO ON THE RUN,"501 Terry Fox Dr, Ottawa, ON",gas station,45.3100283,-75.91804499999999
ESSO ON THE RUN,"6175 Rockdale Road, Ottawa, ON",gas station,45.3404999,-75.3441019
FAIRMONT CONFECTIONERY,"102 Fairmont Ave, Ottawa, ON",regular,45.4012515,-75.7217524
Faith’s Foodliner,"433 Donald B. Munro Drive, Ottawa, ON K0A 1L0",regular,45.3443389,-76.0360865
Fas Gas Plus,"1111 Ogilvie Rd, Ottawa, ON",gas station,45.426329,-75.6323658
FRANCIS Gas Bar,"1944 Merivale Rd, Ottawa, ON",gas station,45.32688599999999,-75.72025479999999
FRESH GROCER,"40 Jolliet Av, Ottawa, ON",regular,45.4431425,-75.6687168
FRESH GROCER,"876 Montreal Rd, Ottawa, ON",regular,45.4457968,-75.63015639999999
FRIENDLY TNH STORE,"157 Cathcart St, Ottawa, ON",regular,45.4336358,-75.69502299999999
G&M SMOKE SHOP,"340 Laurier Ave, Ottawa, ON",regular,45.4179829,-75.6998984
GATEWAY NEWSTANDS,"100 Bayshore Dr, Ottawa, ON",regular,45.347237,-75.8068316
GATEWAY NEWSTANDS,"1200 St. Laurent Blvd, Ottawa, ON",regular,45.4219466,-75.6387057
GATEWAY NEWSTANDS,"2457 Carling Ave, Ottawa, ON",regular,45.3650664,-75.7824971
GATEWAY NEWSTANDS,"50 Rideau St, Ottawa, ON",regular,45.4250234,-75.6909652
GATEWAY NEWSTANDS,"90 Sparks St, Ottawa, ON",regular,45.4226531,-75.69649059999999
GATEWAY NEWSTANDS,"99 Metcalfe St, Ottawa, ON",regular,45.4208809,-75.6952365
GENERAL FOOD MARKET,"613 Somerset St W, Ottawa, ON",regular,45.4123509,-75.70420159999999
Giant Tiger,"1085 Wellington St W, Ottawa, ON",other,45.4032036,-75.7255198
Giant Tiger,"1168 Maple Avenue, Ottawa, ON",other,45.2242374,-75.6859436
Giant Tiger,"1512 Merivale Rd, Nepean, ON K2G 3J6",other,45.3567334,-75.7378655
Giant Tiger,"1861 Robertson Rd, Ottawa, ON",other,45.3280758,-75.8210352
Giant Tiger,"2396 St Joseph Blvd, Ottawa, ON",other,45.4684687,-75.5286254
Giant Tiger,"2480 Walkley Rd, Ottawa, ON",other,45.3902453,-75.6101515
Giant Tiger,"2865 Dumaurier Ave, Ottawa, ON",other,45.3501772,-75.7933204
Giant Tiger,"2950 Bank St, Ottawa, ON",other,45.344538,-75.622643
Giant Tiger,"6081 Hazeldean Rd, Ottawa, ON",other,45.2724542,-75.9329283
Giant Tiger,"900 Watters Rd, Ottawa, ON",other,45.4820643,-75.4734004
Giant Tiger,"98 George St, Ottawa, ON",other,45.427402,-75.6905046
GLEBE SMOKE SHOP,"844 Bank Street, Ottawa, ON",regular,45.401866,-75.6878404
H & H FOODS,"60 Lyndale Av, Ottawa, ON",regular,45.4071673,-75.7308767
Hashi Supermarket,"2925 Albion Rd N, Ottawa, ON K1V 9A8",regular,45.3732236,-75.6537531
HASTY MARKET,"1565 Alta Vista Dr, Ottawa, ON",regular,45.4086185,-75.6573288
HASTY MARKET,"170 Metcalfe St, Ottawa, ON",regular,45.4190923,-75.6944548
HASTY MARKET,"1896 Prince of Wales Dr, Ottawa, ON",regular,45.3538415,-75.7048504
HASTY MARKET,"2361 Carling Avenue, Ottawa, ON",regular,45.367192,-75.7790651
HASTY MARKET,"596 Rideau St, Ottawa, ON",regular,45.43291240000001,-75.6754193
Highland Mart,"515 St Laurent Blvd, Ottawa, ON",regular,45.44415679999999,-75.6475355
HOGANS FOODS,"315 Powell Ave, Ottawa, ON",regular,45.4021862,-75.7017407
INTERNATIONAL NEWS,"111 Albert St, Ottawa, ON",regular,45.421646,-75.69742939999999
INTERNATIONAL NEWS,"2269 Riverside Dr, Ottawa, ON",regular,45.3858045,-75.6783143
INTERNATIONAL NEWS,"240 Sparks St, Ottawa, ON",regular,45.4202971,-75.70240299999999
INTERNATIONAL NEWS,"269 Laurier Av W, Ottawa, ON",regular,45.41915650000001,-75.6984744
IRIS FOOD MART,"1121 Cobden Rd, Ottawa, ON",regular,45.352581,-75.777841
J.T.BRADLEY CONVENIENCE,"1220 Colonial Rd, Ottawa, ON",regular,45.42160500000001,-75.425327
JACK'S PLACE,"2647 Alta Vista Dr, Ottawa, ON",regular,45.3727266,-75.6621492
Jasmin convenience store,"335 Lacasse Ave, Ottawa, ON",regular,45.4344553,-75.6565371
KING'S CONFECTIONERY,"1224 Shillington Av, Ottawa, ON",regular,45.3806314,-75.7283501
Korn's convenience store,"2 Ullswater Dr, Ottawa, ON",regular,45.3520224,-75.84074
Letty INTERNATIONAL SUPERM,"2803 St Joseph Blvd, Ottawa, ON",regular,45.4735225,-75.5205869
LOLA CONFECTIONARY,"1034 Lola St, Ottawa, ON",regular,45.4253636,-75.652521
Lucky Star CORNER STORE,"102 McEwen Av, Ottawa, ON",regular,45.3709414,-75.7819477
Lx & Lz Variety,"440 Gloucester St, Ottawa, ON K1R 7T8",regular,45.4140798,-75.7067335
Mace Concenience,"876 Montreal Rd, Ottawa, ON K1K 4L3",regular,45.4457968,-75.63015639999999
MacEwen,"104 St Guillaume Rd, Vars, K0A 3H0",gas station,45.3308521,-75.346099
MacEwen,"106 McEwen Ave, Ottawa, ON K2B 5K7",gas station,45.3710212,-75.7820907
MacEwen,"1112 Concession St, Russell, ON K4R 1C8",gas station,45.2581067,-75.35911070000002
MacEwen,"1515 St Laurent Blvd, Ottawa, ON",gas station,45.412291,-75.6302972
MacEwen,"1794 Dunrobin Rd, Ottawa, ON",gas station,45.3831274,-75.96946750000001
MacEwen,"2070 Carp Rd, Ottawa, ON",gas station,45.2756404,-75.9496328
MacEwen,"3420 Carling Av, Ottawa, ON",gas station,45.352191,-75.83546319999999
MacEwen,"4564 Fallowfield Rd, Ottawa, ON",gas station,45.2689656,-75.8018053
MacEwen,"5026 Bank St, Ottawa, ON",gas station,45.2971137,-75.5807549
MacEwen,"512 Bank St, Ottawa, ON",gas station,45.4098726,-75.69261999999999
MacEwen,"5546 Albion Rd, Ottawa, ON",gas station,45.269772,-75.5944777
MacEwen,"685 River Rd, Ottawa, ON",gas station,45.2701673,-75.6978273
MAC'S CONVENIENCE Stores,"1600 FOREST VALLEY DRIVE, Ottawa, ON",gas station,45.4488546,-75.53598199999999
MAC'S CONVENIENCE Stores,"256 RICHMOND RD, Ottawa, ON",gas station,45.393417,-75.75033499999999
MAC'S CONVENIENCE Stores,"299 GREENBANK RD, Ottawa, ON",gas station,45.3237882,-75.7773955
MAC'S CONVENIENCE Stores,"1 HOBIN ST, Ottawa, ON",regular,45.2647162,-75.9292944
MAC'S CONVENIENCE Stores,"1 TARTAN DR, Ottawa, ON",regular,45.269884,-75.75406219999999
MAC'S CONVENIENCE Stores,"100 CASTLEFRANK RD, Ottawa, ON",regular,45.2936647,-75.8816465
MAC'S CONVENIENCE Stores,"1023 Wellington St W, Ottawa, ON",regular,45.40478419999999,-75.723925
MAC'S CONVENIENCE Stores,"1025 MERIVALE RD, Ottawa, ON",regular,45.3789466,-75.73289820000001
MAC'S CONVENIENCE Stores,"1031 TERON ROAD, Ottawa, ON",regular,45.3305788,-75.9003508
MAC'S CONVENIENCE Stores,"120 OSGOODE ST, Ottawa, ON",regular,45.4237455,-75.68090459999999
MAC'S CONVENIENCE Stores,"13 KAKULU RD, Ottawa, ON",regular,45.3095761,-75.8812653
MAC'S CONVENIENCE Stores,"1402 Highgate Rd, Ottawa, ON",regular,45.3489085,-75.7698565
MAC'S CONVENIENCE Stores,"1420 WALKLEY ROAD, Ottawa, ON",regular,45.3734543,-75.65356179999999
MAC'S CONVENIENCE Stores,"160 ELGIN STREET, Ottawa, ON",regular,45.4197298,-75.6928678
MAC'S CONVENIENCE Stores,"1827 BASELINE RD, Ottawa, ON",regular,45.3548571,-75.7559696
MAC'S CONVENIENCE Stores,"2063 MEADOWBROOK RD, Ottawa, ON",regular,45.427358,-75.6013072
MAC'S CONVENIENCE Stores,"210 Laurier Av E, Ottawa, ON",regular,45.4256518,-75.6817806
MAC'S CONVENIENCE Stores,"2213 ARCH ST, Ottawa, ON",regular,45.3895238,-75.6304321
MAC'S CONVENIENCE Stores,"25 Tapiola Crescent, Ottawa, ON",regular,45.3640092,-75.6466335
MAC'S CONVENIENCE Stores,"2670 ALTA VISTA DRIVE, Ottawa, ON",regular,45.3735022,-75.6636809
MAC'S CONVENIENCE Stores,"2672 INNES RD, Ottawa, ON",regular,45.4320149,-75.56268
MAC'S CONVENIENCE Stores,"313 MCARTHUR ROAD, Ottawa, ON",regular,45.4319287,-75.6550232
MAC'S CONVENIENCE Stores,"324 Coleman St, Carleton Place, ON K7C 0B5",regular,45.1395484,-76.1276438
MAC'S CONVENIENCE Stores,"333 RIDEAU STREET, Ottawa, ON",regular,45.4296923,-75.6843574
MAC'S CONVENIENCE Stores,"385 Tompkins Av, Ottawa, ON",regular,45.4774353,-75.49853019999999
MAC'S CONVENIENCE Stores,"388 ELGIN ST, Ottawa, ON",regular,45.4144881,-75.6876387
MAC'S CONVENIENCE Stores,"4000 Bridle Path Dr, Ottawa, ON",regular,45.3483871,-75.6457041
