name,formattedAddress,rating,phone,priceRange,categories,latitude,longitude
Whole Foods Market,951 Bank Street,4,(613) 565-7150,$$,"Organic Stores, Grocery, Juice Bars & Smoothies",45.39930233859744,-75.68592626672778
Farmboy,1500 Bank Street,4.5,,$$,Grocery,45.3816402567596,-75.6691718101501
T&T Supermarket,224 Hunt Club Road,4,(613) 731-8113,$$,International Grocery,45.334186,-75.690433
Luciano Foods,114 Preston St,5,(613) 233-1972,$,"Delis, Sandwiches, Grocery",45.4085215,-75.714604
Pot & Pantry,244 Elgin Street,5,(613) 565-1212,,"Kitchen Supplies, Grocery",45.418373,-75.6909919
Loblaws,2085 Carling Avenue,3,(613) 722-3227,$$,Grocery,45.3723082,-75.7675725
Bienvenidos,1731 St Laurent Boulevard,5,(613) 618-7239,,International Grocery,45.4056346,-75.6261407
Seoul Mart,22 Pretoria Avenue,4.5,(613) 567-9988,,Grocery,45.41029,-75.6853312
Adonis,1055 St Laurent Boulevard,3,(613) 778-8883,,International Grocery,45.427053992234,-75.6383699923754
Loblaws,1980 Baseline Road,3,(613) 723-3200,$$,"Grocery, Pharmacy",45.3519502,-75.7595146
Metro,2515 Bank Street,4,(613) 731-7410,$$,Grocery,45.354431,-75.645187
Loblaws,64 Isabella Street,3,(613) 232-4128,$$,Grocery,45.4104528,-75.6858979
LeSuq | Preston,352 Preston St,5,(855) 285-3787,,"Cafes, Grocery",45.4020069,-75.71054869999999
Real Canadian Superstore,190 Richmond Road,3,(613) 722-5890,$$,Grocery,45.3942654,-75.7473437
Noor Food Market,332 Richmond Rd,4,(613) 627-8820,,Grocery,45.392189,-75.7533998787403
Food Basics,667 Kirkwood Avenue,4,(613) 722-7412,$,Grocery,45.3863658,-75.7388344
Loblaws,363 Rideau Street,3,(613) 789-3330,$$,"Grocery, Pharmacy",45.4301553,-75.6838142
FreshCo,1595 Merivale Road,3,(613) 226-1651,$$,Grocery,45.3524148,-75.7327639
Best Price Oriental Market,484 Hazeldean Road,4.5,(613) 836-2831,$$,Grocery,45.2957083258805,-75.8904010663387
Metro,754 Bank Street,3,(613) 232-9466,$$,Grocery,45.4033564,-75.6889293
Produce Depot,1855 Av Carling,4,(613) 722-6106,$$,"Grocery, Fruits & Veggies",45.3494085,-75.9247988
Shiraz Market,725 Somerset Street W,5,(613) 563-1207,$,Grocery,45.376824,-75.7569034
Grocery G3,399b Dalhousie Street,4,(343) 988-1177,,Grocery,45.4106285,-75.7083867
Win Tai Market,1137 Ogilvie Road,4.5,(613) 744-2880,$,"Specialty Food, Grocery",45.4269988,-75.6893633
Kowloon Market,712 Somerset Street W,3,(613) 233-1108,$$,"Grocery, Imported Food",45.4267337,-75.6312669
Ottawa South Groceteria,435 Sunnyside Avenue,3.5,(613) 730-8667,$$,Grocery,45.391672,-75.6898809
Green Fresh Supermarket,29 Selkirk Street,3,(613) 748-1038,$,Grocery,45.4318727,-75.6683087
Al Jazeerah Food and Meat Market,1101 Wellington Street W,2.5,(613) 321-6113,,Grocery,45.4028466,-75.7257886
Di Rienzo’s,111 Beech Street,4.5,(613) 729-4037,$,"Sandwiches, Grocery, Delis",45.4000201,-75.7120537
Shirin Market,700 March Road,0,(613) 591-7000,$$,"Halal, International Grocery",45.4105206,-75.7076798
Geeland International Grocery,1620 Walkley Road,4,(613) 680-4282,,International Grocery,45.35745,-75.656684
Loblaws,2210C Bank Street,3,(613) 733-1377,$$,"Grocery, Pharmacy",45.405113,-75.723568
Marché Hintonburg Market,1059 Wellington Street,4.5,(613) 722-2777,$$,"Butcher, Cheese Shops, Grocery",45.2660293,-75.77139059999999
Banaue Sari Sari Store,3023 Cedarview Road,0,(613) 440-0273,,"Grocery, Caribbean, Vietnamese",45.45774696026977,-75.49293089658022
Nehles Meat Shop Grocery & BBQ,2026 Lanthier Dr,0,(613) 824-3737,,"Meat Shops, Grocery, Barbeque",45.3961984,-75.7133342
Sherwood Supermarket,111 Sherwood Drive,4.5,(613) 729-6011,$,"Grocery, Delis",45.370372,-75.6646426
Savannah Afro Caribbean Products,1838 Bank Street,5,(613) 731-7878,,Grocery,45.3583259,-75.7389182
Dutch Groceries and Giftware,1400 Clyde Avenue,4,(613) 226-1002,$$,International Grocery,45.4257875,-75.6359037
Food Basics,1021 Cyrville Road,2.5,(613) 842-4445,$$,Grocery,45.3854442,-75.7326151
La Tiendita,848 Merivale Rd,3.5,,$,Grocery,45.3773623892806,-75.6450155004859
Divisoria Market,1743 Carling Avenue,4.5,(613) 722-8461,$$,International Grocery,45.3782050358436,-75.7526890933514
Bakker’s General Store,1004 Manotick Station Road,5,(613) 822-1659,,"Imported Food, Delis, International Grocery",45.2557894,-75.62465519999999
Arum Restaurant and Market,512 Bank St,4,(613) 230-8488,$$,"Grocery, Korean",45.4098726,-75.69262
Farm Boy,1642 Merivale Road,4,(613) 228-7417,$$,Grocery,45.3455841,-75.732034
Sobeys,1581 Greenbank Road,4,(613) 825-5495,$$,Grocery,45.2740258451279,-75.7470875703004
Fresh Co,320 McArthur Avenue,3,,$,Grocery,45.4314298,-75.653874
Mid-East Food Centre,1010 Belfast Road,4,(613) 244-2525,$$,Grocery,45.4114877297029,-75.6307721039826
Massine’s Your Independent Grocer,296 Bank Street,2.5,(613) 234-8692,$$$,Grocery,45.4149887,-75.6963375
Foodland,6045 Bank St,4,(613) 821-3016,,Grocery,45.2633793,-75.5549986
Loblaws Supermarkets Limited,3201 Greenbank Rd,4,(613) 825-0812,$$,Grocery,45.2680519,-75.7434605
Kitchen Hut Houseware,1558 Merivale Road,4,(613) 225-8888,,Kitchen & Bath,45.3528521,-75.7354312
The Piggy Market,400 Winston Avenue,5,(613) 371-6124,$$$,"Butcher, Grocery",45.391254000000004,-75.756554
Loblaws,100 McArthur Road,4,(613) 744-0705,$$,"Grocery, Pharmacy",45.429443,-75.6646614
Farmer’s Pick,1430 Prince of Wales Drive,5,(613) 225-1240,$$$,Fruits & Veggies,45.3685302,-75.7027863
La Bottega Nicastro Fine Food Shop,64 George St,4.5,(613) 789-7575,$$,"Delis, Sandwiches, Specialty Food",45.4268387,-75.6918218
Nature’s Buzz Organic Food Market,55 Beechwood Ave,4,(613) 842-0280,$$,Health Food Store,45.4402455,-75.6757886
Manphong Supermarket,775 Somerset St W,3,(613) 230-9934,$,Grocery,45.4101418,-75.7096661
Ross’ Your Independent Grocer,3777 Strandherd Drive,3.5,(613) 843-9413,$$,"Grocery, Pharmacy",45.2681524,-75.7466046
Stolichni Deli,2280 Carling Avenue,4.5,(613) 828-4163,,"Delis, Grocery",45.3681421,-75.7743718
Farm Boy,50 Rideau Street,4,(613) 244-1033,$$$,Grocery,45.4252795,-75.6929819
L & F Montego Place,2211 Saint Joseph Boulevard,3,(613) 830-8377,,International Grocery,45.3506310761343,-75.7822319857037
Nasa Food Centre,3050 Woodroffe Ave,4.5,(613) 823-8225,,Grocery,45.4283345,-75.6927514
Adonis,920 Boulevard Maloney O,1.5,(819) 317-1737,$$,Grocery,45.427558,-75.6929392
Lakomka Delicatessen,1127 Baxter Rd,4,(613) 596-4666,,"Grocery, Imported Food",45.410764,-75.6425307691097
Continental Delicatessen,57 York Street,4,(613) 241-7025,$,"Delis, Meat Shops, Polish",45.3909623,-75.6798999
International Cheese & Deli,40 ByWard Market Sq,3,(613) 241-5411,$$,"Caterers, Cheese Shops",45.4138599370163,-75.6948965116591
Healthy Planet Trainyards,590 Industrial Avenue,4,(613) 730-2020,,"Vitamins & Supplements, Health Food Store, Grocery",45.4092318,-75.7010511
Cedars & Co,1255 Bank St,4,(613) 288-2797,$$,Grocery,45.4678575,-75.5333095
Herb & Spice Shop,375 Bank Street,4,(613) 232-4087,$$$,"Health Food Store, Herbs & Spices, Cosmetics & Beauty Supply",45.2845844,-75.7241576
Domestic Foods,595 Gladstone Ave,4,(613) 230-5427,$,"Grocery, Convenience Stores",45.478472,-75.688591
Lim Bangkok Grocery,794 Somerset St W,3.5,(613) 594-4673,$,Grocery,45.4096052,-75.7102294
Farm Boy,830 Belfast Road,4.5,(613) 288-0616,$$,Grocery,45.41238782074694,-75.63773974085645
IGA Extra,203 Boulevard des Grive,3,(819) 771-1616,$$$,Grocery,45.4321192799698,-75.7793034401955
Food Basics,1465 Merivale Road,2,(613) 224-1544,$$$,Grocery,45.3608084,-75.7336795
Metro,1705 Merivale Road,4,(613) 274-7274,,Grocery,45.3449939,-75.7280403
Charlies Groceteria,220 Carruthers Avenue,5,(613) 722-3535,$,"Grocery, Delis, Laundromat",45.4043024,-75.7281375
Provigo Le Marché,375 Chemin d&#39;Aylmer,4.5,(819) 682-4433,$$,Grocery,45.3972796474463,-75.8232435085942
Abbas Grocery,344 Bell Street,5,,$,Grocery,45.4021158,-75.7033242
Food Basics,3712 Innes Road,4,(613) 837-0650,$,Grocery,45.450153,-75.5174773
Baltyk Delicatessen,935 Carling Avenue,4,(613) 761-7450,$,"Delis, Sandwiches",45.3955601,-75.71331459999999
Parkdale Market,Parkdale Ave &amp; Wellington St W,4,(613) 244-4410,$,Farmers' Market,45.400775,-75.729137
Mario’s Food Centre,381 McArthur Ave,5,(613) 749-1247,,Grocery,45.4323227,-75.6505081
Beirut Boulangerie Et Traiteur,269 Rue Laramee,4,(819) 778-3532,$$,"Bakeries, Grocery",45.4317772,-75.7360091
Casa Nicastro Delicatessen,304 Preston St,4,(613) 238-2018,$,"Delis, Sandwiches, Specialty Food",45.4034261,-75.7113838
New Thana Market,386 Bank St,4,(613) 567-2963,,Grocery,45.413522,-75.694906
Real Canadian Superstore,760 Eagleson Road,2.5,(613) 254-6050,$$,Grocery,45.2827189,-75.8665256
Kanata Kash N Karry,60 Colchester Square,4.5,(613) 435-5355,,Grocery,45.3210063981165,-75.889591090975
European Delicatessen,1568 Merivale Road,4,(613) 228-0394,,Delis,45.3516443,-75.7347403
Damas Supermarket,3033 Carling Avenue,3.5,(613) 726-1792,$,"Bakeries, Butcher, International Grocery",45.3550822,-75.8063329
Kool Runnings Caribbean Groceries & Restaurant,2200 Montreal Rd,0,(613) 741-9101,,Grocery,45.4497115,-75.5872504
McDonough’s Your Independent Grocer,2241 Riverside Drive,3.5,(613) 733-1590,$$$,Grocery,45.4764812743787,-75.5229747173233
Vaishali’s Super Store,62 Wylie Ave,3.5,(613) 721-0318,$$$,Grocery,45.4419041553684,-75.6722260569119
Metro,345 Carleton Avenue,3.5,(613) 725-3065,$$,Grocery,45.3479413911006,-75.7324403015475
Real Canadian Superstore,4270 Innes Road,3,(613) 824-0842,$$,Grocery,45.292533,-75.729095
Farm Boy,1495 Richmond Road,3.5,(613) 688-2882,$$$,Grocery,45.2809221,-75.9127492
Brandon & Megan’s No Frills,1226 Place D&#39;Orleans Drive,3,(866) 987-6453,$$,"Grocery, Pharmacy",45.3861802,-75.676197
Muckleston & Brockwell,127 Beechwood Avenue,5,(613) 745-2244,$$,"Butcher, Meat Shops",45.3548507,-75.8069988
Silk Road Foods,1618 Merivale Road,2.5,(613) 695-3631,$$,Grocery,45.3983839,-75.7406682
Barrhaven Market,2900 Woodroffe Avenue,4,(613) 825-6276,,International Grocery,45.4577084939727,-75.4939165155757
Brandon & Megan’s No Frills,30 Iber Road,4.5,(866) 987-6453,,Grocery,45.362791,-75.7912934
Ottawa Farmers’ Market,1000 Exhibition Way,4,(613) 239-4955,$$,Farmers' Market,45.400442,-75.68324
Cedars & Co,1255 Bank St,4,(613) 288-2797,$$,Grocery,45.3909623,-75.6798999
Al-Oumara Meat Shop & Grill,25 Tapiola Crescent,5,(613) 523-1800,,"Meat Shops, Lebanese",45.3637273,-75.6471007
Adams Sausages,1437 Michael Street,5,(613) 749-3336,,"Butcher, Meat Shops, Imported Food",45.4159611,-75.6287668
Nu Grocery Store,1130 Wellington Street West,2.5,(613) 792-1995,,Grocery,45.4017502555278,-75.726708881557
Farm Boy,3033 Woodroffe Avenue,4,(613) 823-8835,$$$,Grocery,45.2885343846518,-75.7242753502625
Farm Boy,317 McRae Avenue,4.5,(613) 722-7300,$$,Grocery,45.3960489,-75.7498115
Farm Boy,3035 St Joseph Boulevard,4.5,(613) 590-1830,$$,Grocery,45.4771188067687,-75.5137621517805
Fruits Express,5310 Canotek Road,5,(613) 695-3436,,Fruits & Veggies,45.4524485417473,-75.5874272329787
Metro,1705 Merivale Road,4,(613) 274-7274,,Grocery,45.3449939,-75.7280403
Metro,250 Greenbank Road,3,(613) 828-9321,$$,Grocery,45.3242078727147,-75.7802439810898
Colonia Grocery La,345 Av Richelieu,4,(613) 745-2274,$,Grocery,45.4354843,-75.6549629
M&M Food Market,197 Trainyards Drive,5,(613) 241-9054,,Grocery,45.411475,-75.638366
Byward Market News,55 ByWard Market Sq,3,(613) 562-3325,,Grocery,45.427449,-75.6923646
McDonough’s Your Independent Grocer,2241 Riverside Drive,3.5,(613) 733-1590,$$$,Grocery,45.3861802,-75.676197
Loblaws,1980 Ogilvie Road,3,(613) 746-5724,$$,"Grocery, Pharmacy",45.443043063525,-75.6105514664159
Eating Well Ottawa,1169 Parisien Street,5,(613) 695-7200,$,"Organic Stores, Food Delivery Services",45.4193687,-75.6275635
Sandy Hill Pet and People Food Co-op,304 Wilbrod Street,3.5,(613) 321-5915,,"Pet Stores, Health Food Store",45.42739900483031,-75.68050908714122
Sobeys,2276 Tenth Line Road,5,(613) 590-9179,$$$,Grocery,45.4523454558715,-75.4850537253139
Farm Boy,1500 Bank St,5,(613) 739-7199,,Grocery,45.3809813,-75.6701018
Wilson’s Your Independent Grocer,2681 Altavista Drive,3.5,(613) 733-2311,$$,Grocery,45.4349421,-75.6034548
Super C,725-A Boulevard de la Carrière,0,(819) 595-1344,,Grocery,45.376621,-75.749896
Loblaws,1910 Street Laurent Boulevard,4,(613) 521-0880,,Grocery,45.38109810509447,-75.6704451227539
Kaz’s Kitchen & Grocery,207 Guigues Ave,0,(613) 789-3210,,Grocery,45.3729458,-75.6636055
San Jose Mexican Foods,1017B Carp Road,3,(613) 413-2295,,"International Grocery, Mexican, Food Trucks",45.450774,-75.730156
Ottawa Bagelshop & Deli,1321 Wellington St W,4,(613) 722-8753,$,"Delis, Bagels",45.3990561,-75.6239131
Foodland,5669 Main Street,0,(613) 826-2282,$$$,Grocery,45.4326539,-75.691133
Costco,1405 Blair Towers Place,3,(613) 691-7607,,Grocery,45.27261765150449,-75.94599159648394
Ottawa Organics and Natural Foods,858 Campbell Avenue,4.5,(613) 234-1515,$,"Organic Stores, Food Delivery Services",45.3988502,-75.7366115
Pelican Seafood Market & Grill,1500 Bank Street,4.5,(613) 526-5229,$$,"Seafood, Seafood Markets",45.1486903,-75.6009866
Brown’s Your Independent Grocer,1251 Stittsville Main Street,4,(613) 831-9268,$$,"Grocery, Pharmacy",45.2680086,-75.9300986
Monette Gedeon Groceteria Beer,124 Rue Eddy,3,(819) 777-2400,,Grocery,45.4290811,-75.7200246
Moncion’s Your Independant Grocer,671 River Road,3.5,(613) 822-4749,,"Grocery, Pharmacy",45.3681791,-75.7858283
Afro Diva,1315 Richmond Rd,0,(613) 680-0082,,"Cosmetics & Beauty Supply, Wigs, International Grocery",45.2705567,-75.6974346
Natural Food Pantry,1487 Richmond Rd,4,(613) 726-9200,$$$$,Health Food Store,45.3629829,-75.791155
Mimi’s Food Market Express,549 Gladstone Ave,4,(613) 216-7355,$,Convenience Stores,45.4099135,-75.6994313
Provigo,22 Rue Des Flandres,3,(819) 568-5545,$$,Grocery,45.4711794,-75.7181553
Misto Fine Food Emporium,1387 Carling Avenue,3.5,(613) 798-9367,$,"Delis, Italian",45.386394,-75.739544
Loblaws,1 Boulevard Du Plateau,4,,$$,Grocery,45.4351738,-75.7660655
Natural Food Pantry,4325 Strandherd Drive,3.5,(613) 755-2295,$$$,Health Food Store,45.270449,-75.783898
Wah Shing Grocery Store,835 Somerset Street W,4,(613) 232-6100,,Grocery,45.4091919,-75.7118786
ByWard Fruit Market,36 ByWard Market Sq,4,(613) 241-6542,$$,"Fruits & Veggies, Farmers' Market",45.4275981,-75.6929636
Fill My Fidge,,0,(613) 706-0630,,Grocery,45.3463044,-75.626136
Kardish Health Food Centre,2950 Bank Street,4,(613) 224-1414,,"Grocery, Health Food Store",45.4189469,-75.6991835
Metro,50 Beechwood Avenue,3.5,(613) 744-6676,$$$,Grocery,45.4394956,-75.6756442
Healthy Planet Kanata,400 Earl Grey Dr,0,(613) 366-5117,,"Vitamins & Supplements, Grocery, Health Food Store",45.3114428,-75.9142711
Slater Street Market,427 Laurier West,3,,,Convenience Stores,45.4172692,-75.7026016
Farm Boy,193 Metcalfe Street,1,(613) 598-0257,,Grocery,45.4187946,-75.6929885
Kardish Health Food Centre,1831 Robertson Road,4,(613) 224-1414,$$,"Health Food Store, Grocery",45.3282718,-75.8194738
Farm Boy,457 Hazeldean Road,4,(613) 836-8085,$$,Grocery,45.2999529445728,-75.8871324224873
Johnny Farina Restaurant,216 Elgin Street,4,(613) 565-5155,$$,"Italian, Pizza, Delis",45.2847341,-75.7564617
Metro,3310 McCarthy Road,2,(613) 523-2774,$$,Grocery,45.4390712,-75.7317851
Le Quick Pick,71 Rue Laval,0,(819) 771-7307,,Grocery,45.4188788,-75.6915905
Maxi,25 Chemin de la Savane,3,(819) 243-7071,,Grocery,45.3507440083355,-75.6712563612381
Metro Plus,910 Boulevard Maloney E,4,(819) 643-2353,,Grocery,45.4278307,-75.7162813
Laura’s Your Independent Grocer,300 Eagleson Road,3.5,(613) 592-3850,$,Grocery,45.475113,-75.703977
Farm Boy,1250 Stittsville Main street,4.5,(613) 836-4594,$$,Grocery,45.4883751074777,-75.5975617214264
Maxi,300 Saint-Joseph Blvd,0,(819) 777-6551,$$,Grocery,45.3023709,-75.8777644
Dessureault’s Your Independent Grocer,1619 Orleans Boulevard,4,(613) 830-6880,$$$,Grocery,45.2688520333993,-75.9308546005729
Food Basics,900 Greenbank Road,4,(613) 823-4458,,Grocery,45.459603,-75.5241281
Melrose Grocery Store,1082 Wellington St W,4,(613) 728-2566,,Convenience Stores,45.4031558,-75.7250742
North Bestone,190 Lees Avenue,4,,,Convenience Stores,45.4154636,-75.6700336
Metro,1675 Tenth Line Road,4,(613) 837-2614,$$,Grocery,45.4690559176174,-75.4919394835365
Caf’Noisette,52 Boulevard Gréber,5,(819) 246-2525,$,"Coffee & Tea, Specialty Food, Grocery",45.4618003,-75.7003776
Metro Plus,214 Boulevard de la Cité des Jeunes,0,(819) 778-7330,,Grocery,45.4501646,-75.7547447
Bulk Barn,2210 Bank St,4.5,(613) 247-8618,$$,Grocery,45.354899,-75.6547546
Preston Food Market,71 Preston St,0,(613) 238-2448,,Grocery,45.4096406,-75.7148187
FreshCo,4750 Bank Street,4,(613) 822-4549,,Grocery,45.3191181,-75.5957883
Dunn’s Famous Deli,355 Dalhousie Street,2.5,(613) 562-4966,$$,"Delis, Diners",45.4281632,-75.6902091
Village Food,888 Meadowlands Dr,0,(613) 228-1026,$,Grocery,45.3672432,-75.7021772
Loblaws,200 Earl Grey Drive,2.5,(613) 599-9934,$$,Grocery,45.3100490848429,-75.9164530985721
M&M Food Market,990 River Rd,0,(613) 692-6202,,Grocery,45.2339852,-75.6774721
O’connor Grocery,41 Third Ave,0,(613) 232-5540,,Grocery,45.4046808,-75.6847606
Marche Laflamme,126 Rue Principale,0,(819) 684-4156,,Grocery,45.3949859,-75.8434503
Metro,10 Cope Dr,4.5,,,"Bakeries, Grocery, Meat Shops",45.2821603,-75.8652185
Blue Nile Grocery Store,168 King Edward Ave,0,(613) 562-1532,,Convenience Stores,45.4338146207419,-75.69046333867895
Loblaws,2737 Laurier Street,0,,,Grocery,45.5419343,-75.3007897
Europa Food Centre,77 Beechwood Ave,0,(613) 749-9935,,Grocery,45.4406892,-75.6747721
Farm Boy,585 Montreal Rd,3.5,(613) 744-3463,$$,Grocery,45.4426297,-75.6443967
Thyme & Again,1845 Carling Avenue,4.5,(613) 702-4424,$$$,"Caterers, Specialty Food, Desserts",45.3768169,-75.7559995
Il Negozio Nicastro,1355 Wellington Street W,4.5,(613) 729-9100,$$,"Delis, Sandwiches, Italian",45.3985223,-75.7387584
Ottawa Halal Market,2833 Dumaurier Avenue,0,(613) 274-7040,,"International Grocery, Meat Shops",45.3507333,-75.7937212
Ogilvie Grocery Store,1137 Ogilvie Rd,0,(613) 744-2880,,Grocery,45.4267337,-75.6312669
Bulk Barn,3161 Greenbank Rd,4.5,(613) 823-6623,$$,Grocery,45.2695671,-75.7453866
Hasty Market,1565 Alta Vista Drive,1,(613) 733-5773,,Grocery,45.4086136,-75.6573288
Franks,283 Greenbank Road,4.5,(613) 421-6661,$,"Bakeries, Sandwiches, Delis",45.3243098528303,-75.7776322450782
Midori Market,3689 Navan Rd,4.5,(613) 837-3000,$$,"Pizza, Convenience Stores",45.4260873,-75.4888809
Marché Richelieu - Alimentation Pilon,245 Rue Principale E,0,(819) 456-3368,,Grocery,45.6453615,-75.9834387
Quick Way Food Market,326 Somerset St E,0,(613) 565-3500,,Grocery,45.4245315,-75.6740368
Epicerie Robert,193 Chemin de la Savane,0,(819) 525-6644,,Grocery,45.3549154,-75.6451086
Shoppers Drug Mart,2515 Bank Street,3.5,(613) 523-9999,$$,Drugstores,45.40925,-75.678269
LITTLE ITALY FINE FOODS,178 MAIN ST,4,(613) 233-2124,,"Delis, Desserts, Coffee & Tea",45.3997268,-75.7312164
Hasty Market,1224 Wellington St W,4,(613) 761-6033,$$,"Convenience Stores, Grocery",45.4541432,-75.6539569
Manor Park Grocy,179 St Laurent Blvd,0,(613) 746-1023,,Grocery,45.3190929427132,-75.5957942545361
Maison,4750 Bank Street,0,(613) 822-4549,,"Grocery, Bakeries, Delis",45.4368769,-75.6600995
Al Sham Food & Meat Market,275 Montreal Rd,0,(613) 745-2477,,Grocery,45.4213179,-75.4253779
J.T. Bradley’s,1220 Colonial Road,5,(613) 835-3781,,Grocery,45.3601589,-75.7359322
Merivale Fish Market,1480 Merivale Road,4,(613) 723-7203,$$,Seafood Markets,45.50592097978744,-75.61196323249385
IGA Extra,1248 Boulevard la Vérendrye E,0,(819) 893-7890,$$,Grocery,45.4752506,-75.6829241
Super C,181 Rue Principale,0,(819) 684-2010,,Grocery,45.3964027,-75.8366533
Chelsea Freshmart,528 Rt 105,2,(819) 827-8001,$$,Grocery,45.5081211,-75.7850213
Pantry Plus,2433 St Joseph Boulevard,4.5,(613) 830-5790,$$$,"Health Food Store, Grocery",45.4699453,-75.5284842
Kardish Health Food Centre,499 Terry Fox Drive,3,(613) 224-1414,,Grocery,45.3110041761311,-75.9196138536658
Corner Store,395 Montreal Road,0,(613) 742-5004,,Convenience Stores,45.4390106,-75.6539378
Bulk Barn,197 Trainyards Drive,4.5,(613) 244-0103,$,"Herbs & Spices, Grocery",45.413899,-75.642953
Allspice Superstore,194 Robertson Rd,0,(613) 829-3395,,Grocery,45.317641,-75.843848
Upland Heights Grocery,3360 Paul Anka Dr,0,(613) 521-5993,,Grocery,45.3497454,-75.6750806
Robinson’s Your Independent Grocer,1160 Beaverwood Road,0,(613) 692-2828,,Grocery,45.2229262,-75.6835675
Farm Boy,499 Terry Fox Drive,4,(613) 271-8727,$$,Grocery,45.3108288455484,-75.921663840576
Freshco,2150 Robertson Road,3,(613) 726-8038,$,Grocery,45.3194399308115,-75.8358633104843
Place Cartier Iga Laflamme,425 Saint-Joseph Boul,0,(819) 770-9131,$$,Grocery,45.4456609,-75.7340534
Tazij House,1620 Merivale Rd,4,,,"Cafes, Specialty Food, Middle Eastern",45.3475338261071,-75.7322849114125
Asian Grocer,1581 Bank Street,0,(613) 321-0773,,Grocery,45.3794058,-75.6674529
Food Basics,1670 Heron Road,1,(613) 731-0066,$,Grocery,45.3793062686515,-75.6432701322632
Farm Boy,2030 Tenth Line Road,4,(613) 841-4221,$$$,Grocery,45.4584073,-75.4877257
Shafie Food Centre,1655 Kilborn Ave,0,(613) 523-1980,,Grocery,45.3877283,-75.6516525
Cote Poultry,2770 Lancaster Road,0,(613) 247-7721,,Meat Shops,45.395579,-75.606278
Farm Boy,2950 Bank Street,4,(613) 260-7330,$$$,Grocery,45.3458029723383,-75.625912867853
Barakat Market,1656 Bank Street,0,(613) 737-7722,,"Meat Shops, International Grocery",45.3764222,-75.6669651
Richmond Food Market,1315 Richmond Rd,0,(613) 726-6548,,Grocery,45.3792083,-75.644858
Jaguar Groceries,465 Parkdale Ave,0,(613) 722-1022,,Grocery,45.48037,-75.679388
Epicerie Jocelyn Claire Fournier,29 Rue Morin,0,(819) 777-1094,,Grocery,45.351331,-75.7307124
Quickie the Convenience Stores,1670 Heron Rd,2,(613) 731-7849,,Convenience Stores,45.3819994,-75.5952501
Super C,720 Boulevard Maloney O,0,(819) 243-5117,,Grocery,45.4614760142277,-75.4840213048935
McDaniel’s Your Independent Grocer,200 Grant Carman Drive,3.5,(613) 727-1672,$$$$,"Grocery, Pharmacy",45.3856281,-75.6794410769989
Kowloon Foods,4095 Belgreen Dr,0,(613) 738-5125,,Grocery,45.4874076,-75.7011432
Metro,4510 Innes Road,2,(613) 824-8850,$$,Grocery,45.3681791,-75.7858283
Natural Food Pantry,4325 Strandherd Dr,3.5,(613) 737-9330,,Health Food Store,45.3988122,-75.7277585
I G A Famille Charles,455 Blvd Greber,0,(819) 243-0011,,Grocery,45.4293178,-75.7249381
M & J Tropical Super Market,1509 Merivale Road,0,(613) 224-3204,$$,Grocery,45.3572937,-75.7367947
Sobeys,5150 Innes Road,4,(613) 590-2205,$$$,Grocery,45.4693457140627,-75.4558763445649
Greenbank Foods,806 Greenbank Rd,0,(613) 825-3246,,Grocery,45.2870325,-75.756814
Russell Foodland,148 Craig Street,4,(613) 445-5308,$$,Grocery,45.256842,-75.37372
Epicerie Laberge Sakr,260 Alexandre-Tache Boul,0,(819) 777-1613,,Grocery,45.4231908,-75.7371104
Metro,1811 Robertson Road,0,(613) 721-7028,$$,Grocery,45.3302476,-75.8171021
Presto Les Entrepots,85 Rue Adrien-Robert,0,(819) 776-0082,,Grocery,45.4575026,-75.735758
King’s Your Independent Grocer,5911 Perth Street,4,(613) 838-7255,,Grocery,45.2032116,-75.8290665
Moussa Mini Market & Meat Shop,300 McArthur Ave,0,(613) 745-7900,,Grocery,45.4314481,-75.6559184
Loblaws,1460 Merivale Road,4,(613) 226-6001,$$,"Grocery, Pharmacy",45.3619299,-75.7353516
