name,address,address2,size,lat,lng,num
Abbas Grocery,344 Bell Street,"Ottawa, ON",small,45.4020648,-75.7032878,1
Adams Sausages,1437 Michael Street,"Ottawa, ON",small,45.4159116,-75.6281825,1
Adonis,1055 St Laurent Boulevard,"Ottawa, ON",small,45.427054,-75.6383701,1
African Queen Supermarket,2430 Bank St,"Ottawa, ON",small,45.3537723,-75.6491647,1
Afro Diva,1315 Richmond Rd,"Ottawa, ON",small,45.368022,-75.785856,2
Ai Amir Grocery And Meat Shop,1800 Bank St.,"Ottawa, ON",small,45.3715892,-75.6643203,1
Al Jazeerah Food And Meat Market,1101 Wellington Street W,"Ottawa, ON",small,45.4028466,-75.7257886,1
Al Madina Meat And Food Market,"1136 Cadboro Rd, Ottawa, ON K1J 7R1","Ottawa, ON",small,45.4307575,-75.6211764,1
Al Mokhtar Food Centre,383 McArthur Ave,"Ottawa, ON",small,45.4323268,-75.6504453,1
Al Sham Food & Meat Market,275 Montreal Rd,"Ottawa, ON",small,45.4368769,-75.6600995,1
Al-Kalaa Mini Market,557 Kirkwood Ave,"Ottawa, ON",small,45.3891522,-75.7427783,1
All Africa Market,411 McArthur Ave,"Ottawa, ON",small,45.432316,-75.6485199,1
Allspice Superstore,194 Robertson Rd,"Ottawa, ON",small,45.3173858,-75.8444531,1
Al-Oumara Meat Shop & Grill,25 Tapiola Crescent,"Ottawa, ON",small,45.3640092,-75.6466335,1
Alta Juba Supermarket,2925 Albion Road North,"Ottawa, ON",small,45.3717897,-75.6524121,1
Arum Restaurant And Market,512 Bank St,"Ottawa, ON",small,45.4098726,-75.69262,1
Arya Food Market,508 Gladstone Ave,"Ottawa, ON",small,45.4099336,-75.6982053,1
Asian Grocer,1581 Bank Street,"Ottawa, ON",small,45.3794058,-75.6674463,1
Bakker's General Store,1004 Manotick Station Road,"Ottawa, ON",small,45.2557894,-75.6246552,1
Baltyk Delicatessen,935 Carling Avenue,"Ottawa, ON",small,45.3955891,-75.7132488,1
Banaue Sari Sari Store,3023 Cedarview Road,"Ottawa, ON",small,45.2660293,-75.7713906,1
Barakat Market,1656 Bank Street,"Ottawa, ON",small,45.3764222,-75.6669651,1
Barrhaven Market,2900 Woodroffe Avenue,"Ottawa, ON",small,45.2922857,-75.7289418,1
Barwaaqo Meats,1439 Ogilvie Rd,"Ottawa, ON",small,45.4319267,-75.618418,1
Beirut Boulangerie Et Traiteur,269 Rue Laramee,"Ottawa, ON",small,45.4317772,-75.7360091,1
Best Price Oriental Market,484 Hazeldean Road,"Ottawa, ON",small,45.2959208,-75.8900792,1
Bienvenidos Latin Market,1731 St Laurent Boulevard,"Ottawa, ON",small,45.4056346,-75.6261407,1
Blue Nile Grocery Store,168 King Edward Ave,"Ottawa, ON",small,45.433828,-75.6904511,1
Bulk Barn,3161 Greenbank Rd,"Ottawa, ON",small,45.2695671,-75.7453866,1
Bulk Barn,197 Trainyards Drive,"Ottawa, ON",small,45.411285,-75.638627,2
By Grace Food Market,183 Montreal Rd,"Ottawa, ON",small,45.435266,-75.6641003,1
Byward Fruit Market,36 ByWard Market Sq,"Ottawa, ON",small,45.4275991,-75.6929651,1
Byward Market News,55 ByWard Market Sq,"Ottawa, ON",small,45.427449,-75.6923646,1
Casa Nicastro Delicatessen,304 Preston St,"Ottawa, ON",small,45.4034261,-75.7113838,1
Cedars & Co,1255 Bank St,"Ottawa, ON",small,45.3909623,-75.6798999,1
Cedars & Co. Food Market,1793 Kilborn Av,"Ottawa, ON",small,45.3880921,-75.6452686,1
Charlies Groceteria,220 Carruthers Avenue,"Ottawa, ON",small,45.4043024,-75.7281375,1
Colonia Grocery La,345 Av Richelieu,"Ottawa, ON",small,45.4354843,-75.6549629,1
Continental Delicatessen,57 York Street,"Ottawa, ON",small,45.4283345,-75.6927514,1
Corner Store,395 Montreal Road,"Ottawa, ON",small,45.4390106,-75.6539378,1
Costco,1405 Blair Towers Place,"Ottawa, ON",small,45.4349421,-75.6034548,1
Cote Poultry,2770 Lancaster Road,"Ottawa, ON",small,45.395577,-75.606277,1
Damas Supermarket,3033 Carling Avenue,"Ottawa, ON",small,45.3550822,-75.8063329,1
Desi Price Club,1950 Merivale Road,"Ottawa, ON",small,45.326052,-75.7198339,1
Desi-Food Market,2580 St Joseph Blvd,"Ottawa, ON",small,45.4706222,-75.5251418,1
Di Rienzo's,111 Beech Street,"Ottawa, ON",small,45.4000201,-75.7120537,1
Divisoria Market,1743 Carling Avenue,"Ottawa, ON",small,45.3782045,-75.752689,1
Domestic Foods,595 Gladstone Ave,"Ottawa, ON",small,45.4092318,-75.7010511,1
Dunn's Famous Deli,355 Dalhousie Street,"Ottawa, ON",small,45.4281632,-75.6902091,1
Dutch Groceries And Giftware,1400 Clyde Avenue,"Ottawa, ON",small,45.3583259,-75.7389182,1
Eating Well Ottawa,1169 Parisien Street,"Ottawa, ON",small,45.4201195,-75.6273123,1
Epicerie Jocelyn Claire Fournier,29 Rue Morin,"Ottawa, ON",small,45.4293178,-75.7249381,1
Europa Food Centre,77 Beechwood Ave,"Ottawa, ON",small,45.4406892,-75.6747722,1
European Delicatessen,1568 Merivale Road,"Ottawa, ON",small,45.3516443,-75.7347403,1
Farm Boy,1250 Stittsville Main St.,"Ottawa, ON
K2S 1S9",large,45.2683251,-75.9311153,1
Farm Boy,1495 Richmond Road,"Ottawa,Â ON
K2B 6R9",large,45.362791,-75.7912934,1
Farm Boy,1500 Bank St.,"Ottawa, ON
K1H 7Z1",large,45.3809813,-75.6701018,1
Farm Boy,1642 Merivale Road,"Ottawa,Â ON
K2G 4A1",large,45.3455841,-75.732034,1
Farm Boy,2030 Tenth Line Road,"Ottawa, ON
K4A 4X4",large,45.4584073,-75.4877257,1
Farm Boy,2950 Bank Street,"Ottawa ON
K1T 1N8",large,45.344538,-75.622643,1
Farm Boy,3033 Woodroffe Avenue,"Ottawa, ON
K2G 6H2",large,45.2881771,-75.7251596,1
Farm Boy,3035 St. Joseph Boulevard,"Ottawa, ON
K1E 1E1",large,45.4776536,-75.5132978,1
Farm Boy,317 McRae Avenue,"Ottawa, ON
K1Z 8P4",large,45.3960489,-75.7498115,1
Farm Boy,457 Hazeldean Road,"Ottawa,Â ON
K2L 1V1",large,45.3001758,-75.8857221,1
Farm Boy,499 Terry Fox Drive,"Ottawa, ON
K2T 1H7",large,45.3108116,-75.9199686,1
Farm Boy,50 Rideau Street,"Ottawa, ON
K1N 9J7",large,45.4252795,-75.6929819,1
Farm Boy,585 Montreal Road,"Ottawa,Â ON
K1K 4K3",large,45.4426297,-75.6443967,1
Farm Boy,193 Metcalfe Street,"Ottawa, ON
K2P 0S5",large,45.4187946,-75.6929885,1
Farm Boy,665 Industrial Avenue,"Ottawa, ON",large,45.4108686,-75.6394562,1
Farm Boy,830 Belfast Rd,"Ottawa Train Yards
830 Belfast Rd
Ottawa, ON
K1G 0Z4",large,45.4125451,-75.6380428,1
Farmer's Pick,1430 Prince of Wales Drive,"Ottawa, ON",large,45.3685302,-75.7027863,1
Food Basics,"1021 Cyrville Road, Unit 1",Ottawa K1J 7S3,large,45.4257875,-75.6359037,1
Food Basics,"1465 Merivale Road, Unit 13",Ottawa K2E 5N9,large,45.3609612,-75.7340239,1
Food Basics,150 Katimavik Road,Kanata K2L 2N2,large,45.3124188,-75.8958402,1
Food Basics,1670 Heron Road,Ottawa K1V 0C2,large,45.3801397,-75.6437959,1
Food Basics,3712 Innes Road,Orleans K1W 0C8,large,45.4501454,-75.5174796,1
Food Basics,5703 Hazeldean Road,Stittsville K2S 0P6,large,45.2852452,-75.9135878,1
Food Basics,667 Kirkwood Avenue,Ottawa K1Z 8N7,large,45.3863658,-75.7388344,1
Food Basics,900 Greenbank Road,Ottawa K2J 1S8,large,45.2847264,-75.7564617,1
Food Basics,3049 Jefferson Dr,Brockville K6V6N7,large,44.5998576,-75.7038909,1
Food Basics,2615 Highway #43,R.R. #5 Kemptville K0G 1J0,large,45.0199425,-75.65949,1
Foodland,148 Craig Street,"Russell, on, K4R 1A1",large,45.2570873,-75.3722076,1
Foodland,"6045 Bank Street, Unit 101","Greely, on, K4P 0G5",large,45.2633793,-75.5549986,1
Foodland,5669 Osgoode Main St,"Ottawa, ON",large,45.1486903,-75.6009866,2
Foodland,11 Thorold Lane,"Ingleside, on, K0C 1M0",large,44.9970579,-74.9895602,1
Foodland,37 Plaza Drive,"Iroquois, on, K0E 1K0",large,44.8491214,-75.316263,1
Foodland,12015 Main Street West,"Winchester, on, K0C 2K0",large,45.0875094,-75.3722924,1
Franks,283 Greenbank Road,"Ottawa, ON",small,45.3242692,-75.7776888,1
Freshco,"1595 Merivale Road, Unit # 5","Ottawa, on, K2G 3J4",large,45.3524148,-75.7327639,1
Freshco,2150 Robertson Road,"Nepean, on, K2H 9S1",large,45.3193771,-75.8358738,1
Freshco,"2480 Strandherd Dr., Building A","Ottawa, on, K2G 4S4",large,45.2738887,-75.7100224,1
Freshco,320 McArthur Avenue,"Ottawa, on, K1L 5G2",large,45.4314285,-75.6538977,1
Freshco,4750 Bank Street,"Ottawa, on, K1J 0K8",large,45.3191181,-75.5957883,1
Freshco,110 Lansdowne Avenue,"Carleton Place, on, K7C 2T7",large,45.1340916,-76.1395226,1
Fruits Express,5310 Canotek Road,"Ottawa, ON",small,45.4520762,-75.5875447,1
Geeland International Grocery,1620 Walkley Road,"Ottawa, ON",small,45.3773624,-75.6450154,1
George's Meat Shop,3681 Innes Rd,"Ottawa, ON",small,45.4502459,-75.5189877,1
Grace In The Kitchen,442 Hazeldean Rd,"Ottawa, ON",small,45.2995219,-75.885129,1
Green Fresh Supermarket,29 Selkirk Street,"Ottawa, ON",small,45.4321785,-75.6681141,1
Greenbank Foods,806 Greenbank Rd,"Ottawa, ON",small,45.2870325,-75.756814,1
Grocery G3,399b Dalhousie Street,"Ottawa, ON",small,45.4269988,-75.6893633,1
Hasty Market,1224 Wellington St W,"Ottawa, ON",small,45.3997284,-75.7312123,1
Hasty Market,1565 Alta Vista Drive,"Ottawa, ON",small,45.4086185,-75.6573288,1
Healthy Planet Kanata,400 Earl Grey Dr,"Ottawa, ON",small,45.3114428,-75.9142711,1
Healthy Planet Trainyards,590 Industrial Avenue,"Ottawa, ON",small,45.4107468,-75.6425309,1
Herb & Spice Shop,375 Bank Street,"Ottawa, ON",small,45.4139145,-75.6948505,1
Hung Phat Grocery,139 Rochester St,"Ottawa, ON",small,45.4088823,-75.7117215,1
Il Negozio Nicastro,1355 Wellington Street W,"Ottawa, ON",small,45.3985223,-75.7387545,1
Il Negozio Nicastro,792 Bank St,"Ottawa, ON",small,45.402908,-75.6884398,1
International Cheese & Deli,40 ByWard Market Sq,"Ottawa, ON",small,45.427558,-75.6929392,1
J.T. Bradley's,1220 Colonial Road,"Ottawa, ON",small,45.421605,-75.425327,1
Jacobsons,103 Beechwood Ave,"Ottawa, ON",small,45.4414221,-75.6736113,1
Jaguar Groceries,465 Parkdale Ave,"Ottawa, ON",small,45.3988122,-75.7277585,1
JJ's Market,380 Laurier Ave W,"Ottawa, ON",small,45.4173464,-75.700451,1
Johnny Farina Restaurant,216 Elgin Street,"Ottawa, ON",small,45.4188788,-75.6915905,1
Kanata Kash N Karry,60 Colchester Square,"Ottawa, ON",small,45.320946,-75.8896096,1
Kardish Health Food Centre,1831 Robertson Road,"Ottawa, ON",small,45.3282713,-75.8194738,1
Kaz's Kitchen & Grocery,207 Guigues Ave,"Ottawa, ON",small,45.4326539,-75.6911401,1
Kitchen Hut Houseware,1558 Merivale Road,"Ottawa, ON",small,45.3528521,-75.7354312,1
Kool Runnings Caribbean Groceries,2200 Montreal Rd,"Ottawa, ON",small,45.4497115,-75.5872504,1
Kowloon Foods,4095 Belgreen Dr,"Ottawa, ON",small,45.3819994,-75.5952501,1
Kowloon Market,712 Somerset Street W,"Ottawa, ON",small,45.4105206,-75.7076798,1
L & F Montego Place,2211 Saint Joseph Boulevard,"Ottawa, ON",small,45.4678575,-75.5333095,1
La Bottega Nicastro Fine Food Shop,64 George St,"Ottawa, ON",small,45.4268387,-75.691821,1
La Tiendita,848 Merivale Rd,"Ottawa, ON",small,45.3854442,-75.7326151,1
Lakomka Delicatessen,1127 Baxter Rd,"Ottawa, ON",small,45.3508762,-75.7821448,1
Le Quick Pick,71 Rue Laval,"Ottawa, ON",small,45.4278307,-75.7162813,1
Lesuq | Preston,352 Preston St,"Ottawa, ON",small,45.4020069,-75.7105487,1
Lim Bangkok Grocery,794 Somerset St W,"Ottawa, ON",small,45.4096052,-75.7102294,1
Little Euro Deli,2 Goldridge Dr,"Ottawa, ON",small,45.316109,-75.9206246,1
Little Italy Fine Foods,178 MAIN ST,"Ottawa, ON",small,45.4092452,-75.678269,1
Little Latin America,764 SOMERSET STREET WEST W,"Ottawa, ON",small,45.4101579,-75.7084932,1
Loblaws,100 McArthur Rd,"Ottawa, Ontario, K1L 8H5",large,45.4293416,-75.6648604,1
Loblaws,1460 Merivale Rd,"Nepean, Ontario, K2E 5P2",large,45.3619299,-75.7353516,1
Loblaws,1910 St Laurent Blvd,"Ottawa, Ontario, K1G 1A4",large,45.3990561,-75.6239131,1
Loblaws,1980 Baseline Rd,"Ottawa, Ontario, K2C 0C6",large,45.3520746,-75.7595588,1
Loblaws,1980 Ogilvie Rd,"Ottawa, Ontario, K1J 9L3",large,45.4325275,-75.6098258,2
Loblaws,200 Earl Grey Dr,"Ottawa, Ontario, K2T 1B6",large,45.3099428,-75.9166182,1
Loblaws,2085 Carling Ave,"Ottawa, Ontario, K2A 1H2",large,45.3723082,-75.7675725,1
Loblaws,2210 Bank St,"Ottawa, Ontario, K1V 1J5",large,45.357795,-75.656517,2
Loblaws,3201 Greenbank Rd,"Ottawa, Ontario, K2J 4H9",large,45.2680519,-75.7434605,1
Loblaws,363 Rideau St,"Ottawa, Ontario, K1N 5Y6",large,45.4301553,-75.6838142,1
Loblaws,64 Isabella St,"Ottawa, Ontario, K1S 1V4",large,45.4104617,-75.6858976,1
Loblaws,2065A Robertson Rd,"Ottawa, Ontario, K2H 5H9",large,45.3245571,-75.8330591,1
Luciano Foods,114 Preston St,"Ottawa, ON",small,45.4085215,-75.714604,1
M & J Tropical Super Market,1383 Clyde Ave.,"Ottawa, ON",small,45.3597207,-75.738109,1
M F Food Mart,850 Merivale Rd,"Ottawa, ON",small,45.3852417,-75.732678,1
M&M Food Market,197 Trainyards Drive,"Ottawa, ON",small,45.413763,-75.64364,2
M&M Food Market,990 River Rd,"Ottawa, ON",small,45.2339852,-75.6774721,1
Manila Mart,2924 carling Ave,"Ottawa, ON",small,45.3565119,-75.8012461,1
Manor Park Grocy,179 St Laurent Blvd,"Ottawa, ON",small,45.4541521,-75.6539569,1
Manphong Supermarket,775 Somerset St W,"Ottawa, ON",small,45.4101418,-75.7096661,1
Marché Hintonburg Market,1059 Wellington Street,"Ottawa, ON",small,45.4039534,-75.7247482,1
Mario's Food Centre,381 McArthur Ave,"Ottawa, ON",small,45.4323227,-75.6505081,1
Maxi,300 Saint-Joseph Blvd,"Ottawa, ON",small,45.460199,-75.5555398,1
Maya Market Inc.,197 Norice St,"Ottawa, ON",small,45.3397168,-75.7540739,1
Mc Halal Meat & Grocery,379 McArthur Ave,"Ottawa, ON",small,45.4323187,-75.6505747,1
Melrose Grocery Store,1082 Wellington St W,"Ottawa, ON",small,45.4031558,-75.7250742,1
Mercado Latino,67 Montreal Rd,"Ottawa, ON",small,45.4337466,-75.6680196,1
Merivale Fish Market,1480 Merivale Road,"Ottawa, ON",small,45.3601589,-75.7359322,1
Metro,1360 Richmond Road,"Ottawa, ON K2B 8L4",large,45.3651759,-75.7866521,1
Metro,1675 Tenth Line Road,"Orleans, ON K1E 3P6",large,45.4690176,-75.4912331,1
Metro,1705 Merivale Road,"Ottawa, ON K2G 3K2",large,45.3449939,-75.7280403,1
Metro,1930 Montreal Road,"Gloucester, ON K1J 6N2",large,45.4454303,-75.5952217,1
Metro,2261 Walkley Road,"Ottawa, ON K1G 3G8",large,45.3895383,-75.6192521,1
Metro,250 Greenbank Road,"Nepean, ON K2H 8P3",large,45.3253982,-75.7798765,1
Metro,2515 Bank Street,"Ottawa, ON K1V 8R9",large,45.3542812,-75.6459712,1
Metro,2636 Innes Road,"Gloucester, ON K1B 4Z8",large,45.4314383,-75.5630346,1
Metro,3201 Strandherd Drive,"Nepean, ON K2J 5N1",large,45.27456,-75.7212893,1
Metro,3310 McCarthy Rd.,"Ottawa, ON K1V 9S1",large,45.3506573,-75.6719591,1
Metro,345 Carleton Avenue,"Ottawa, ON K1Y 0K3",large,45.3983659,-75.7404881,1
Metro,4048 Carling Avenue,"Kanata, ON K2K 1Y1",large,45.3371417,-75.9072525,1
Metro,4510 Innes Road,"Ottawa, ON K4A 4C5",large,45.4613368,-75.4841125,1
Metro,50 Beechwood Avenue,"Ottawa, ON K1L 8B3",large,45.4394956,-75.6756442,1
Metro,6509 Jeane D'Arc Blvd.,"Orleans, ON K1C 2R1",large,45.4807611,-75.5361128,1
Metro,754 Bank Street,"Ottawa, ON K1S 3V6",large,45.4033564,-75.6889232,1
Metro,375 Daniel St. S,"Arnprior, ON K7S 3K6",large,45.4257504,-76.3679176,1
Metro,237 King Street West,"Brockville, ON K6V 3S2",large,44.5863676,-75.689628,1
Metro,21 Richer Circle,"Casselman, ON K0A 1M0",large,45.3040007,-75.0828638,1
Metro,10 Cope Drive,"Kanata, ON K2M 0N2",large,45.2821603,-75.8652185,1
Metro,50 Wilson Street West,"Perth, ON K7H 2H4",large,44.9022605,-76.2561799,1
Metro,83 Raglan Street South,"Renfrew, ON K7V 1P8",large,45.4739374,-76.6858223,1
Metro Plus,910 Boulevard Maloney E,"Ottawa, ON",small,45.4883472,-75.5975053,1
Mid-East Food Centre,1010 Belfast Road,"Ottawa, ON",small,45.4107723,-75.6310612,1
Midori Market,3689 Navan Rd,"Ottawa, ON",small,45.4265805,-75.4890519,1
Mimi's Food Market Express,549 Gladstone Ave,"Ottawa, ON",small,45.4099135,-75.6994313,1
Moussa Mini Market & Meat Shop,300 McArthur Ave,"Ottawa, ON",small,45.4314481,-75.6559184,1
Muckleston & Brockwell,127 Beechwood Avenue,"Ottawa, ON",small,45.441975,-75.672293,1
Mulligans Grocery,2321 Andrew St,"Ottawa, ON",small,45.132208,-75.71651,1
Nasa Food Centre,3050 Woodroffe Ave,"Ottawa, ON",small,45.2845844,-75.7241576,1
Natural Food Pantry,1487 Richmond Rd,"Ottawa, ON",small,45.3629829,-75.791155,1
Natural Food Pantry,4325 Strandherd Dr,"Ottawa, ON",small,45.2710005,-75.7837894,1
Nature's Buzz Organic Food Market,55 Beechwood Ave,"Ottawa, ON",small,45.4402455,-75.6757886,1
Nehles Meat Shop Grocery & Bbq,2026 Lanthier Dr,"Ottawa, ON",small,45.4577469,-75.492931,1
New Middleast Supermarket,1755 Bank St,"Ottawa, ON",small,45.3737361,-75.6644327,1
New Thana Market,386 Bank St,"Ottawa, ON",small,45.413522,-75.694906,1
No Frills,1226 Place d'Orleans Dr.,"Ottawa, Ontario, K1C 7K3",large,45.4764991,-75.5228439,1
No Frills,30 Iber Road,"Stittsville, Ontario, K2S 2R1",large,45.2809221,-75.9127492,1
Noor Food Market,332 Richmond Rd,"Ottawa, ON",small,45.3921771,-75.7533998,1
North Bestone,190 Lees Avenue,"Ottawa, ON",small,45.4151826,-75.6697825,1
Nour Al Sham Meat Market & Groceries,3615 Uplands Dr,"Ottawa, ON",small,45.3426577,-75.664078,1
Nu Grocery Store,1130 Wellington Street West,"Ottawa, ON",small,45.4017855,-75.7266504,1
O'Connor Grocery,41 Third Ave,"Ottawa, ON",small,45.4046808,-75.6847606,1
Ottawa Bagelshop & Deli,1321 Wellington St W,"Ottawa, ON",small,45.3988502,-75.7366115,1
Ottawa Farmers' Market,1000 Exhibition Way,"Ottawa, ON",small,45.4000555,-75.6827317,1
Ottawa Halal Market,2833 Dumaurier Avenue,"Ottawa, ON",small,45.3507333,-75.7937212,1
Ottawa Organics And Natural Foods,858 Campbell Avenue,"Ottawa, ON",small,45.3764869,-75.7499893,1
Ottawa South Groceteria,435 Sunnyside Avenue,"Ottawa, ON",small,45.3916631,-75.6899175,1
Pantry Plus,2433 St Joseph Boulevard,"Ottawa, ON",small,45.4699453,-75.5284842,1
Phuoc-Loi Grocery,791 SOMERSET STREET WEST,"Ottawa, ON",small,45.4097598,-75.7104466,1
Place Cartier Iga Laflamme,425 Saint-Joseph Boul,"Ottawa, ON",small,45.460797,-75.5540543,1
Pot & Pantry,244 Elgin Street,"Ottawa, ON",small,45.418373,-75.6909919,1
Preston Food Market,71 Preston St,"Ottawa, ON",small,45.4096406,-75.7148187,1
Produce Depot,1855 Av Carling,"Ottawa, ON",small,45.376824,-75.7569034,1
Produce Depot,2446 Bank,"Ottawa, ON",small,45.352484,-75.64549,2
Provigo,22 Rue Des Flandres,"Ottawa, ON",small,45.4711794,-75.7181553,1
Quick Way Food Market,326 Somerset St E,"Ottawa, ON",small,45.4245315,-75.6740368,1
Real Canadian Superstore,190 Richmond Rd,"Ottawa, Ontario, K1Z 6W6",large,45.3942654,-75.7473437,1
Real Canadian Superstore,4270 Innes Rd,"Ottawa, Ontario, K4A 5E6",large,45.4572295,-75.4953166,1
Real Canadian Superstore,760 Eagleson Rd,"Kanata, Ontario, K2M 0A7",large,45.2827189,-75.8665256,1
Real Canadian Superstore,1972 Parkedale Ave,"Brockville, Ontario, K6V 7N4",large,44.6140249,-75.6887651,1
Richmond Food Market,1315 Richmond Rd,"Ottawa, ON",small,45.3681702,-75.7858283,2
Saigon Meats & Vegetales,777 Somerset St W,"Ottawa, ON",small,45.4100018,-75.7100384,1
San Jose Mexican Foods,1017B Carp Road,"Ottawa, ON",small,45.2725019,-75.9455961,1
Sandy Hill Pet And People Food Co-Op,304 Wilbrod Street,"Ottawa, ON",small,45.4274289,-75.6805365,1
Savannah Afro Caribbean Products,1838 Bank Street,"Ottawa, ON",small,45.370372,-75.6646426,1
Seoul Mart,22 Pretoria Avenue,"Ottawa, ON",small,45.41029,-75.6853312,1
Shafie Food Centre,1990 Russell Rd,"Ottawa, ON",small,45.4008336,-75.624182,1
Shafie Food Centre,1655 Kilborn Ave,"Ottawa, ON",small,45.3877283,-75.6516525,1
Sherwood Supermarket,111 Sherwood Drive,"Ottawa, ON",small,45.3961984,-75.7133342,1
Shiraz Food Market,725 Somerset St W,"Ottawa, ON",small,45.4106348,-75.7083867,1
Shirin Market,700 March Road,"Ottawa, ON",small,45.3501092,-75.9243828,1
Silk Road Foods,1618 Merivale Road,"Ottawa, ON",small,45.3474932,-75.7327351,1
Slater Street Market,427 Laurier West,"Ottawa, ON",small,45.4172318,-75.7025806,1
Sobey's,5150 Innes Road,"Orleans, on, K4A 0G4",large,45.469773,-75.4553161,1
Sobey's,700 Terry Fox Drive,"Kanata, on, K2L 4H4",large,45.2916794,-75.8936843,1
Sobey's,840 March Road,"Kanata, on, K2W 0C9",large,45.3579397,-75.9337228,1
Sobey's,2276 - Tenth Line Road,"Orleans, on, K4A 0X4",large,45.4520629,-75.4849814,1
South Asian Supermarket,3059 Carling Ave,"Ottawa, ON",small,45.3546544,-75.8074087,1
Stolichni Deli,2280 Carling Avenue,"Ottawa, ON",small,45.3681421,-75.7743718,1
Sultan Supermarket South,"2446 Bank Street, Ottawa, ON K1V 1A4","Ottawa, ON",small,45.35265,-75.646706,2
T&T,224 Hunt Club Road,"Ottawa, ON, K1V 1C1",large,45.3339133,-75.6905898,1
The Original Herb & Spice Shop,1310 Wellington St W,"Ottawa, ON",small,45.3984898,-75.7365031,1
The Piggy Market,400 Winston Avenue,"Ottawa, ON",TBC,45.391254,-75.756554,1
The Red Apron,564 Gladstone Ave,"Ottawa, ON",TBC,45.409403,-75.6999293,1
The Scottish And Irish Store,2194 Robertson Rd,"Ottawa, ON",small,45.3187573,-75.8401724,1
Upland Heights Grocery,3360 Paul Anka Dr,"Ottawa, ON",small,45.3497454,-75.6750806,1
Vaishali's Super Store,62 Wylie Ave,"Ottawa, ON",small,45.3548507,-75.8069988,1
Village Food,888 Meadowlands Dr,"Ottawa, ON",small,45.3671249,-75.7025045,1
Wah Shing Grocery Store,835 Somerset Street W,"Ottawa, ON",small,45.4091919,-75.7118785,1
Walmart,100 Bayshore Dr,"Ottawa, ON, K2B 8C1",large,45.3482612,-75.8050948,1
Walmart,1375 Baseline Rd,"Ottawa, ON, K2C 3G1",large,45.3637647,-75.7384059,1
Walmart,2210 Bank St,"Ottawa, ON, K1V 1J5",large,45.354465,-75.654004,2
Walmart,2277 Riverside Dr,"Ottawa, ON, K1H 7X6",large,45.3856281,-75.6774777,1
Walmart,3001 Richelieu St,"Rockland, ON, K4K 0B5",large,45.5322464,-75.3059486,1
Walmart,340 Colonnade Dr,"Kemptville, ON, K0G 1J0",large,45.0291722,-75.6295666,1
Walmart,3651 Strandherd Dr,"Barrhaven, ON, K2J 4G8",large,45.2718267,-75.7408564,1
Walmart,3900 Innes Rd,"Orleans, ON, K1W 1K9",large,45.4513939,-75.5083891,1
Walmart,450 Mcneely Ave,"Carleton Place, ON, K7C 0A6",large,45.1336183,-76.1254369,1
Walmart,450 Terminal Ave,"Ottawa, ON, K1G 0Z3",large,45.4131465,-75.6496399,1
Walmart,5357 Fernbank Rd,"Stittsville, ON, K2S 0T7",large,45.2755019,-75.874195,1
Walmart,1980 Ogilvie Rd,"Gloucester, ON, K1J 9L3",large,45.431734,-75.610978,2
Walmart,500 Earl Grey Dr,"Kanata, ON, K2T 1B6",large,45.3112546,-75.9127711,1
Whole Foods Market,951 Bank St,"Ottawa, ON K1S 3W7",large,45.3993485,-75.6854996,1
Win Tai Market,1137 Ogilvie Road,"Ottawa, ON",small,45.4267387,-75.6312669,1
YIG,1160 Beaverwood Rd,"Manotick, Ontario, K4M 1A5",large,45.2235963,-75.6847232,1
YIG,1619 Orleans Ave,"Ottawa, Ontario, K1C 7E2",large,45.459603,-75.5241281,1
YIG,200 Grant Carman,"Nepean, Ontario, K2E 7Z8",large,45.351331,-75.7307124,1
YIG,2241 Riverside Dr,"Ottawa, Ontario, K1H 7X5",large,45.3861802,-75.676197,1
YIG,2681 Alta Vista Dr,"Ottawa, Ontario, K1V 7T5",large,45.3722133,-75.6630484,1
YIG,2737 Laurier Street,"Rockland, Ontario, K4K 1A3",large,45.5414081,-75.2989098,1
YIG,296 Bank St,"Ottawa, Ontario, K2P 1X8",large,45.4149887,-75.6963375,1
YIG,300 Eagleson Rd,"Kanata, Ontario, K2M 1C9",large,45.3023709,-75.8777644,1
YIG,3777 Strandherd Dr,"Nepean, Ontario, K2J 4B1",large,45.2681524,-75.7466046,1
YIG,455 Mcneely Ave,"Carleton Place, Ontario, K7C 4S6",large,45.1342809,-76.1211587,1
YIG,5911 Perth St,"Richmond, Ontario, K0A 2Z0",large,45.2032116,-75.8290665,1
YIG,596 Montreal Road,"Ottawa, Ontario, K1K 0T9",large,45.4409692,-75.6435621,1
YIG,671 River Rd,"Ottawa, Ontario, K1V 2G2",large,45.2705567,-75.6974346,1
YIG,753 Notre-Dame St,"Embrun, Ontario, K0A 1W0",large,45.2684141,-75.3036791,1
YIG,25 Ferrara Dr,"Smiths Falls, Ontario, K7A 5K6",large,44.8924731,-76.0267593,1
YIG,80 Dufferin St,"Perth, Ontario, K7H 3A7",large,44.9076224,-76.2649133,1
YIG,1251 Main St,"Stittsville, Ontario, K2S 2E5",large,45.268974,-75.9284036,1
Seed to Sausage General Store,729 Gladstone Ave.,"Ottawa, ON",small,45.40773,-75.70444,
